우편번호,주소
25566,강원특별자치도 강릉시 하평길 31
25569,강원특별자치도 강릉시 경강로 2319
25483,강원특별자치도 강릉시 강릉대로527번길 8
25479,강원특별자치도 강릉시 강릉대로469번길 39
25482,강원특별자치도 강릉시 연당길 42
25522,강원특별자치도 강릉시 선수촌로63번길 18
25520,강원특별자치도 강릉시 사임당로 131
25536,강원특별자치도 강릉시 토성로61번길 2
25524,강원특별자치도 강릉시 경강로1804번길 12
25525,강원특별자치도 강릉시 홍제로71번길 31
25519,강원특별자치도 강릉시 하슬라로 15
25523,강원특별자치도 강릉시 경강로 1936
25599,강원특별자치도 강릉시 관솔길12번길 45
25598,강원특별자치도 강릉시 회산로 347
25600,강원특별자치도 강릉시 관솔길 61
24728,강원특별자치도 고성군 교촌길 57
24741,강원특별자치도 고성군 진부령로 2137
24727,강원특별자치도 고성군 진부령로 2440
24726,강원특별자치도 고성군 건봉사로 116
24738,강원특별자치도 고성군 금수리1길 50
24736,강원특별자치도 고성군 수성로 48
24731,강원특별자치도 고성군 동호길 46
24733,강원특별자치도 고성군 간성북로 80
24725,강원특별자치도 고성군 진부령로 3036
24730,강원특별자치도 고성군 간성로 140
24729,강원특별자치도 고성군 간성로 81
24735,강원특별자치도 고성군 간성로 82
24732,강원특별자치도 고성군 남천마루1길 50
24734,강원특별자치도 고성군 간성로30번길 7
24737,강원특별자치도 고성군 수성로 37
24740,강원특별자치도 고성군 어천2길 11
24742,강원특별자치도 고성군 진부령로 1075
24739,강원특별자치도 고성군 탑동길 512
24717,강원특별자치도 고성군 거탄진로 135
24716,강원특별자치도 고성군 거진길 21
24713,강원특별자치도 고성군 거탄진로 22
24711,강원특별자치도 고성군 행랑골길 24
24719,강원특별자치도 고성군 벌평로 27
24715,강원특별자치도 고성군 거진길 31
24714,강원특별자치도 고성군 거탄진로 149
24718,강원특별자치도 고성군 거진운동장길 52
24720,강원특별자치도 고성군 거탄진로29번길 7
24712,강원특별자치도 고성군 거성길 38
24710,강원특별자치도 고성군 벌평로 33
24708,강원특별자치도 고성군 건봉사로 735
24723,강원특별자치도 고성군 반암길 22
24722,강원특별자치도 고성군 낙산길 229
24724,강원특별자치도 고성군 남강로 540
24709,강원특별자치도 고성군 남강로 845
24721,강원특별자치도 고성군 자산길 19
24744,강원특별자치도 고성군 가진길 20
24745,강원특별자치도 고성군 공현진해변길 69
24747,강원특별자치도 고성군 동해대로 6130
24748,강원특별자치도 고성군 구성2길 28
24752,강원특별자치도 고성군 괘진길 53
24750,강원특별자치도 고성군 삼포민박촌1길 14
24751,강원특별자치도 고성군 삼포길 7
24749,강원특별자치도 고성군 곡실평길 132
24746,강원특별자치도 고성군 왕곡마을길 47
24743,강원특별자치도 고성군 향목동길 83
24755,강원특별자치도 고성군 교암길 61
24760,강원특별자치도 고성군 화원길 296
24754,강원특별자치도 고성군 교암1길 15
24756,강원특별자치도 고성군 화원1길 59
24761,강원특별자치도 고성군 도원2길 58
24762,강원특별자치도 고성군 진등3길 87
24765,강원특별자치도 고성군 토성로 60
24764,강원특별자치도 고성군 봉포4길 22
24766,강원특별자치도 고성군 잼버리동로 593
24767,강원특별자치도 고성군 성대로 53
24763,강원특별자치도 고성군 신성1길 108
24768,강원특별자치도 고성군 용원로 470
24769,강원특별자치도 고성군 용원로 272
24757,강원특별자치도 고성군 아야진해변길 59
24758,강원특별자치도 고성군 동해대로 5213
24759,강원특별자치도 고성군 용암1길 34
24770,강원특별자치도 고성군 사진용촌길 89
24753,강원특별자치도 고성군 떡바우골길 96
24701,강원특별자치도 고성군 건봉사로 247
24703,강원특별자치도 고성군 금강산로 353
24704,강원특별자치도 고성군 한나루로 131
24706,강원특별자치도 고성군 대진1길 8
24702,강원특별자치도 고성군 마차진길 1
24707,강원특별자치도 고성군 열산길 11
24705,강원특별자치도 고성군 철통1길 44
25703,강원특별자치도 동해시 금단길 94
25792,강원특별자치도 동해시 공단10로 15
25817,강원특별자치도 동해시 대동로 41
25813,강원특별자치도 동해시 오일장2길 10
25790,강원특별자치도 동해시 갯목길 144
25791,강원특별자치도 동해시 구미1길 33
25793,강원특별자치도 동해시 대동로 74
25798,강원특별자치도 동해시 공단1로 177
25799,강원특별자치도 동해시 공단3로 68
25797,강원특별자치도 동해시 공단9로 156
