우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
25449,강원특별자치도 강릉시 소목길 18,219.54,105.32,321.83
25521,강원특별자치도 강릉시 공제로359번길 68,221.61,105.32,321.83
25442,강원특별자치도 강릉시 보광본길 16,228.47,105.32,321.83
25446,강원특별자치도 강릉시 송암골길 48,224.4,105.32,321.83
25443,강원특별자치도 강릉시 부동길 1,227.09,105.32,321.83
25444,강원특별자치도 강릉시 경강로 1158,224.77,105.32,321.83
25447,강원특별자치도 강릉시 위촌길 274,221.56,105.32,321.83
25558,강원특별자치도 강릉시 해안로 93,229.28,105.32,321.83
25563,강원특별자치도 강릉시 남강초교2길 44,228.24,105.32,321.83
25562,강원특별자치도 강릉시 경강로 2473,228.93,105.32,321.83
25469,강원특별자치도 강릉시 산양큰길 79,228.25,105.32,321.83
25613,강원특별자치도 강릉시 신석길 69,228.68,105.32,321.83
25609,강원특별자치도 강릉시 신석길127번길 12,232.05,105.32,321.83
25461,강원특별자치도 강릉시 경포로475번길 23,234.23,105.32,321.83
25431,강원특별자치도 강릉시 남평길 1,227.11,105.32,321.83
25428,강원특별자치도 강릉시 진고개로 2642,228.83,105.32,321.83
25429,강원특별자치도 강릉시 연주로 163,228.84,105.32,321.83
25400,강원특별자치도 강릉시 진고개로 1563,239.85,105.32,321.83
25432,강원특별자치도 강릉시 초시길 229,232.6,105.32,321.83
25430,강원특별자치도 강릉시 영진2길 12,228.81,105.32,321.83
25433,강원특별자치도 강릉시 유등길 67,236.24,105.32,321.83
25427,강원특별자치도 강릉시 백운동길 143,236.72,105.32,321.83
25426,강원특별자치도 강릉시 퇴곡2길 22,237.94,105.32,321.83
25633,강원특별자치도 강릉시 헌화로 64,245.91,105.32,321.83
25638,강원특별자치도 강릉시 풍동로 240,247.76,105.32,321.83
25646,강원특별자치도 강릉시 남양1길 8,250.3,105.32,321.83
25635,강원특별자치도 강릉시 도직길 7,248.19,105.32,321.83
25637,강원특별자치도 강릉시 풍동로 638,251.58,105.32,321.83
