ZipCode,avg_cost,avg_cost_per_km
21995,40000.0,526.3157894736842
21998,25000.0,862.0689655172414
22013,33750.0,1298.076923076923
22014,25000.0,806.4516129032259
22135,25000.0,1250.0
22212,,
22382,55000.0,873.015873015873
22502,35000.0,1206.896551724138
22742,32500.0,1015.625
22828,25000.0,1470.5882352941176
22849,40000.0,1081.081081081081
24040,,
24131,180000.0,853.0805687203791
24213,132500.0,939.7163120567376
24239,140000.0,1000.0
24398,140000.0,897.4358974358975
24465,140000.0,1238.9380530973451
25209,180000.0,1132.0754716981132
25629,,
26455,160000.0,1081.081081081081
27465,150000.0,1048.951048951049
27803,,
28119,120000.0,816.3265306122449
28122,,
28159,,
28356,120000.0,750.0
28436,120000.0,750.0
28799,,
30068,140000.0,939.5973154362416
30102,,
30136,140000.0,786.5168539325842
30137,,
30141,140000.0,813.953488372093
30147,,
31086,85000.0,752.212389380531
31093,,
31109,,
31116,60000.0,526.3157894736842
31183,85000.0,752.212389380531
31248,86363.63636363637,664.3356643356643
31253,80000.0,606.060606060606
31413,80000.0,816.3265306122449
31418,80000.0,740.7407407407408
31454,84000.0,736.8421052631579
31489,,
31580,100000.0,925.925925925926
31700,100000.0,781.25
31902,120000.0,888.8888888888889
32149,150000.0,980.3921568627451
32248,140000.0,1000.0
32557,,
33323,150000.0,914.6341463414634
34047,140000.0,717.9487179487179
34102,140000.0,686.2745098039215
34122,,
34124,,
34133,,
34141,,
34325,,
34350,,
34873,220000.0,1094.5273631840796
35203,,
35213,,
35259,,
35262,133333.33333333334,666.6666666666666
36728,190000.0,625.0
37406,,
38180,240000.0,628.2722513089005
39400,200000.0,660.0660066006601
39419,171250.0,531.8322981366459
41216,220000.0,641.399416909621
42734,220000.0,635.8381502890173
44032,250000.0,551.8763796909492
44259,250000.0,576.036866359447
44783,,
44908,290000.0,680.5345088855214
44995,250000.0,569.4760820045558
46726,260000.0,556.745182012848
46738,260000.0,576.4966740576497
46744,260000.0,567.6855895196506
46747,,
46762,260000.0,554.3710021321962
48073,,
48729,260000.0,555.5555555555555
48743,,
48814,,
48934,,
49111,,
50126,250000.0,702.2471910112359
50424,260000.0,628.0193236714975
50593,260000.0,570.1754385964912
51556,260000.0,684.2105263157895
51599,,
51695,,
53261,,
54870,,
54966,200000.0,781.25
55365,200000.0,790.5138339920949
55756,,
58613,,
61130,,
61251,,
61939,,
62228,,
62452,,
62465,220000.0,645.1612903225806
63082,,
63091,,
-,,
01830,60000.0,1111.111111111111
02540,30000.0,612.2448979591836
02713,30000.0,909.0909090909091
03082,33333.333333333336,1111.111111111111
03128,25000.0,862.0689655172414
03143,25000.0,1000.0
03159,40000.0,1379.3103448275863
