City,Distance,avg_cost,avg_cost_per_km
04778,40.0,35000.0,875.0
04784,37.0,42500.0,1148.6486486486485
04793,35.0,,
04799,36.0,37500.0,1041.6666666666665
05006,40.0,,
05103,44.0,,
05202,57.0,,
05277,55.0,,
05288,63.0,35000.0,555.5555555555555
05385,57.0,50000.0,877.1929824561404
05387,61.0,35000.0,573.7704918032787
05510,46.0,40000.0,869.5652173913044
05545,48.0,,
05666,47.0,,
05717,49.0,40000.0,816.3265306122449
05836,44.0,34000.0,772.7272727272727
05840,43.0,50000.0,1162.7906976744187
05840,48.0,,
05854,49.0,40000.0,816.3265306122449
06027,38.0,25000.0,657.8947368421053
06045,30.0,35000.0,1166.6666666666665
06047,32.0,37500.0,1171.875
06050,31.0,37500.0,1209.6774193548385
06053,32.0,25000.0,781.25
06060,36.0,,
06068,37.0,,
06068,40.0,30000.0,750.0
06069,30.0,,
06072,39.0,,
06080,48.0,,
06101,42.0,32409.090909090908,771.6450216450215
06132,40.0,46666.666666666664,1166.6666666666667
06133,44.0,,
06139,40.0,35000.0,875.0
06155,42.0,70000.0,1666.6666666666667
06162,43.0,,
06164,41.0,,
06171,42.0,,
06179,42.0,25000.0,595.2380952380952
06180,47.0,25000.0,531.9148936170212
06182,47.0,,
06210,34.0,35000.0,1029.4117647058824
06211,40.0,,
06225,47.0,30000.0,638.2978723404256
06234,40.0,37500.0,937.5
06235,31.0,60000.0,1935.483870967742
06236,40.0,37916.666666666664,947.9166666666666
06237,37.0,,
06245,44.0,60000.0,1363.6363636363637
06259,41.0,,
06351,40.0,,
06364,40.0,30000.0,750.0
06501,22.0,35000.0,1590.909090909091
06520,36.0,,
06595,29.0,28125.0,969.8275862068966
06606,38.0,69000.0,1815.7894736842104
06608,32.0,25000.0,781.25
06611,38.0,35000.0,921.0526315789474
06619,36.0,30000.0,833.3333333333334
06647,40.0,,
06655,33.0,,
06672,27.0,,
06705,27.0,,
06707,31.0,,
06724,40.0,26666.666666666668,666.6666666666666
06725,35.0,30000.0,857.1428571428571
06754,36.0,,
06763,37.0,60000.0,1621.6216216216217
06771,39.0,,
06772,39.0,,
07062,16.0,,
07063,15.0,,
07071,16.0,25000.0,1562.5
07207,16.0,25000.0,1562.5
07217,16.0,30000.0,1875.0
07228,17.0,,
07237,20.0,21875.0,1093.75
07242,19.0,20000.0,1052.6315789473683
07247,20.0,,
07251,16.0,25000.0,1562.5
07285,13.0,,
07292,16.0,25000.0,1562.5
07293,14.0,,
07305,11.0,,
07320,14.0,25000.0,1785.7142857142858
07321,14.0,,
07326,15.0,20000.0,1333.3333333333333
07330,19.0,25000.0,1315.7894736842106
07345,18.0,25000.0,1388.888888888889
07378,12.0,20000.0,1666.6666666666667
07379,21.0,,
07505,21.0,30000.0,1428.5714285714287
07516,30.0,,
07523,17.0,,
07532,16.0,20000.0,1250.0
07547,16.0,15000.0,937.5
07583,15.0,27500.0,1833.3333333333335
07646,15.0,19000.0,1266.6666666666665
07648,16.0,30000.0,1875.0
07793,16.0,23125.0,1445.3125
07796,14.0,25750.0,1839.2857142857142
07801,15.0,,
07900,8.0,20000.0,2500.0
07974,20.0,,
07991,13.0,27000.0,2076.923076923077
07994,11.0,20750.0,1886.3636363636363
07994,20.0,,
08013,13.0,,
08213,13.0,30000.0,2307.6923076923076
08362,2.0,,
08378,11.0,23750.0,2159.090909090909
08382,11.0,,
08389,10.0,24062.5,2406.25
08390,10.0,,
08500,9.0,17500.0,1944.4444444444443
08501,10.0,20000.0,2000.0
08503,9.0,15000.0,1666.6666666666667
08504,10.0,22500.0,2250.0
08507,10.0,16666.666666666668,1666.6666666666667
08510,20.0,20000.0,1000.0
08511,11.0,30000.0,2727.2727272727275
08513,11.0,28333.333333333332,2575.757575757576
08533,10.0,,
08588,10.0,,
08589,9.0,15000.0,1666.6666666666667
08704,14.0,20000.0,1428.5714285714287
08708,16.0,39444.444444444445,2465.277777777778
08741,25.0,,
08768,11.0,25000.0,2272.727272727273
08780,15.0,27500.0,1833.3333333333335
08806,30.0,,
08826,22.0,,
08846,15.0,20000.0,1333.3333333333333
08846,21.0,,
