index,우편번호,주소
76,1076,서울특별시 강북구 노해로13길 30
77,1077,서울특별시 강북구 삼각산로36길 3
78,1078,서울특별시 강북구 노해로11길 19
79,1079,서울특별시 강북구 수유로 53
80,1080,서울특별시 강북구 수유로 65
81,1081,서울특별시 강북구 수유로 56
82,1082,서울특별시 강북구 삼양로 376
83,1083,서울특별시 강북구 삼각산로20길 7
84,1084,서울특별시 강북구 인수봉로62길 33
85,1085,서울특별시 강북구 인수봉로60길 15
86,1086,서울특별시 강북구 삼양로93길 14
87,1087,서울특별시 강북구 삼양로93길 3
88,1088,서울특별시 강북구 인수봉로58길 9
89,1089,서울특별시 강북구 인수봉로56길 9
90,1090,서울특별시 강북구 삼양로 367
91,1091,서울특별시 강북구 삼양로87길 33
92,1092,서울특별시 강북구 인수봉로56길 18
93,1093,서울특별시 강북구 덕릉로5길 13
94,1094,서울특별시 강북구 덕릉로9길 3
95,1095,서울특별시 강북구 인수봉로 149
96,1096,서울특별시 강북구 인수봉로23가길 28
97,1097,서울특별시 강북구 인수봉로42길 7
98,1098,서울특별시 강북구 삼양로 333
99,1099,서울특별시 강북구 삼양로81길 38
100,1100,서울특별시 강북구 인수봉로38길 20
101,1101,서울특별시 강북구 삼양로79길 39
102,1102,서울특별시 강북구 삼양로77길 28
103,1103,서울특별시 강북구 삼양로73길 13
104,1104,서울특별시 강북구 삼양로69길 37
105,1105,서울특별시 강북구 삼양로77길 66
106,1106,서울특별시 강북구 삼양로77가길 75
107,1107,서울특별시 강북구 인수봉로20나길 10
108,1108,서울특별시 강북구 솔매로7가길 15
109,1109,서울특별시 강북구 삼양로63길 13
110,1110,서울특별시 강북구 삼양로 247
111,1111,서울특별시 강북구 수유로 13
112,1112,서울특별시 강북구 삼양로80가길 16
113,1113,서울특별시 강북구 덕릉로 66
114,1114,서울특별시 강북구 도봉로77길 7
115,1115,서울특별시 강북구 삼양로74다길 51
116,1116,서울특별시 강북구 삼양로80길 20
117,1117,서울특별시 강북구 도봉로69길 20
118,1118,서울특별시 강북구 솔매로45길 95
119,1119,서울특별시 강북구 솔매로43길 87
120,1120,서울특별시 강북구 삼양로 280
121,1121,서울특별시 강북구 삼양로58가길 31
122,1122,서울특별시 강북구 삼양로 252
123,1123,서울특별시 강북구 삼양로58길 29
124,1124,서울특별시 강북구 도봉로53가길 16
125,1125,서울특별시 강북구 도봉로53길 16
126,1126,서울특별시 강북구 솔매로35길 8
127,1127,서울특별시 강북구 삼양로 246
128,1128,서울특별시 강북구 도봉로 286
129,1129,서울특별시 강북구 도봉로76길 35
130,1130,서울특별시 강북구 도봉로76길 68
131,1131,서울특별시 강북구 도봉로76길 56
132,1132,서울특별시 강북구 덕릉로28길 53
133,1133,서울특별시 강북구 솔매로 139
134,1134,서울특별시 강북구 덕릉로 140
135,1135,서울특별시 강북구 덕릉로40나길 31
136,1136,서울특별시 강북구 한천로 926
137,1137,서울특별시 강북구 한천로 911
138,1138,서울특별시 강북구 덕릉로40길 74
139,1139,서울특별시 강북구 덕릉로42길 40
140,1141,서울특별시 강북구 오패산로 290
141,1142,서울특별시 강북구 오패산로52사길 13
142,1143,서울특별시 강북구 오현로 199
143,1144,서울특별시 강북구 오현로31길 113
144,1145,서울특별시 강북구 한천로 897
145,1146,서울특별시 강북구 오현로25길 6
146,1147,서울특별시 강북구 오현로25다길 54
147,1148,서울특별시 강북구 오현로25다길 60
148,1149,서울특별시 강북구 오현로21길 46
149,1150,서울특별시 강북구 오현로25가길 30
150,1151,서울특별시 강북구 오현로 145
151,1152,서울특별시 강북구 오패산로52길 29
152,1153,서울특별시 강북구 오패산로52다길 42
153,1154,서울특별시 강북구 오패산로48길 12
154,1155,서울특별시 강북구 오현로 45
155,1156,서울특별시 강북구 오현로9길 49
156,1157,서울특별시 강북구 솔매로 152
157,1158,서울특별시 강북구 솔매로50길 43
158,1159,서울특별시 강북구 도봉로34길 43
159,1160,서울특별시 강북구 도봉로34길 5
160,1161,서울특별시 강북구 도봉로 134
161,1162,서울특별시 강북구 오패산로 229
162,1163,서울특별시 강북구 도봉로28나길 22
163,1164,서울특별시 강북구 도봉로24길 24
164,1165,서울특별시 강북구 도봉로18길 21
165,1166,서울특별시 강북구 오패산로 173
166,1167,서울특별시 강북구 삼양로54길 68
167,1168,서울특별시 강북구 도봉로45길 84
168,1169,서울특별시 강북구 솔매로44길 18
169,1170,서울특별시 강북구 솔매로 112
170,1171,서울특별시 강북구 솔샘로67길 132
171,1172,서울특별시 강북구 도봉로37길 58
172,1173,서울특별시 강북구 도봉로41길 90
173,1174,서울특별시 강북구 삼양로38길 8
174,1175,서울특별시 강북구 도봉로 147
175,1176,서울특별시 강북구 도봉로31길 13
176,1177,서울특별시 강북구 도봉로23길 24
177,1178,서울특별시 강북구 솔샘로53길 4
178,1179,서울특별시 강북구 도봉로 113
179,1180,서울특별시 강북구 인수봉로 54
180,1181,서울특별시 강북구 삼양로51길 38
181,1182,서울특별시 강북구 솔매로22가길 27
182,1183,서울특별시 강북구 인수봉로 36
183,1184,서울특별시 강북구 삼양로43길 25
184,1185,서울특별시 강북구 인수봉로6길 42
185,1186,서울특별시 강북구 인수봉로 18
186,1187,서울특별시 강북구 인수봉로 10
187,1188,서울특별시 강북구 솔샘로47길 9
188,1189,서울특별시 강북구 삼양로41길 29
189,1190,서울특별시 강북구 인수봉로19길 21
190,1191,서울특별시 강북구 솔샘로 167
191,1192,서울특별시 강북구 솔샘로 174
192,1193,서울특별시 강북구 솔샘로 208
193,1194,서울특별시 강북구 삼양로27길 20
194,1195,서울특별시 강북구 삼양로 163
195,1196,서울특별시 강북구 삼양로27길 35
196,1197,서울특별시 강북구 삼양로19길 154
197,1198,서울특별시 강북구 삼양로19길 59
198,1199,서울특별시 강북구 삼양로19길 40
199,1200,서울특별시 강북구 삼양로19길 25
200,1201,서울특별시 강북구 솔샘로 258
201,1202,서울특별시 강북구 솔샘로60길 18
202,1203,서울특별시 강북구 솔샘로60길 21
203,1204,서울특별시 강북구 솔샘로64가길 20
204,1205,서울특별시 강북구 도봉로 85
205,1206,서울특별시 강북구 도봉로13길 13
206,1207,서울특별시 강북구 솔샘로64다길 42
207,1208,서울특별시 강북구 삼양로24길 4
208,1209,서울특별시 강북구 삼양로20가길 6
209,1210,서울특별시 강북구 숭인로7나길 23
210,1211,서울특별시 강북구 도봉로 45
211,1212,서울특별시 강북구 숭인로7길 28
212,1213,서울특별시 강북구 숭인로 39
213,1214,서울특별시 강북구 삼양로 94
214,1215,서울특별시 강북구 도봉로10길 73
215,1216,서울특별시 강북구 오현로6길 32
216,1217,서울특별시 강북구 오패산로 155
217,1218,서울특별시 강북구 오현로6길 41
218,1219,서울특별시 강북구 오현로6길 50
219,1220,서울특별시 강북구 도봉로 38
220,1221,서울특별시 강북구 월계로 11
221,1222,서울특별시 강북구 월계로7길 39
222,1223,서울특별시 강북구 오현로 176
223,1224,서울특별시 강북구 오현로32길 30
224,1225,서울특별시 강북구 한천로109길 10
225,1226,서울특별시 강북구 한천로 833
226,1227,서울특별시 강북구 한천로109길 57
227,1228,서울특별시 강북구 월계로 173
228,1229,서울특별시 강북구 한천로105길 24
229,1230,서울특별시 강북구 한천로105길 27
230,1231,서울특별시 강북구 월계로 191
231,1232,서울특별시 강북구 오현로 56
232,1233,서울특별시 강북구 오패산로38길 10
233,1234,서울특별시 강북구 오패산로30길 74
234,1236,서울특별시 강북구 월계로21나길 22
235,1237,서울특별시 강북구 월계로 59
236,1300,서울특별시 도봉구 도봉산길 88
237,1301,서울특별시 도봉구 도봉로191가길 8
238,1302,서울특별시 도봉구 도봉산3길 12
239,1303,서울특별시 도봉구 도봉산1길 62
240,1304,서울특별시 도봉구 도봉로179길 13
241,1305,서울특별시 도봉구 도봉로173길 23
242,1306,서울특별시 도봉구 도봉로169나길 22
243,1307,서울특별시 도봉구 도봉로169다길 20
244,1308,서울특별시 도봉구 시루봉로23다길 27
245,1309,서울특별시 도봉구 도봉로 769
246,1310,서울특별시 도봉구 도봉로155길 45
247,1311,서울특별시 도봉구 시루봉로 239
248,1312,서울특별시 도봉구 시루봉로23가길 17
249,1313,서울특별시 도봉구 도봉로173다길 30
250,1314,서울특별시 도봉구 시루봉로15길 36
251,1315,서울특별시 도봉구 시루봉로13길 55
252,1316,서울특별시 도봉구 시루봉로 149
253,1317,서울특별시 도봉구 방학로 252
254,1318,서울특별시 도봉구 도봉로 946
255,1319,서울특별시 도봉구 도봉로180나길 48
256,1320,서울특별시 도봉구 마들로 797
257,1321,서울특별시 도봉구 도봉로152가길 224
258,1322,서울특별시 도봉구 도봉로152가길 175
259,1323,서울특별시 도봉구 마들로 742
260,1324,서울특별시 도봉구 마들로 684
261,1325,서울특별시 도봉구 마들로 724
262,1326,서울특별시 도봉구 도봉로152가길 138
263,1327,서울특별시 도봉구 도봉로160길 10
264,1328,서울특별시 도봉구 마들로 693
265,1329,서울특별시 도봉구 도봉로152길 15
266,1330,서울특별시 도봉구 마들로 668
267,1331,서울특별시 도봉구 마들로 650
268,1332,서울특별시 도봉구 도봉로150다길 22
269,1333,서울특별시 도봉구 도봉로 710
270,1334,서울특별시 도봉구 방학로 76
271,1335,서울특별시 도봉구 도봉로150바길 57
272,1336,서울특별시 도봉구 마들로 646
273,1337,서울특별시 도봉구 마들로 616
274,1338,서울특별시 도봉구 방학로 32
275,1339,서울특별시 도봉구 도당로 110
276,1340,서울특별시 도봉구 도봉로149길 29
277,1341,서울특별시 도봉구 도봉로145길 40
278,1342,서울특별시 도봉구 방학로6가길 10
279,1343,서울특별시 도봉구 방학로 148
280,1344,서울특별시 도봉구 방학로 130
281,1345,서울특별시 도봉구 방학로 106
282,1346,서울특별시 도봉구 도봉로145가길 25
283,1347,서울특별시 도봉구 시루봉로 238
284,1348,서울특별시 도봉구 시루봉로 268
285,1349,서울특별시 도봉구 도봉로 733
286,1350,서울특별시 도봉구 도당로31길 55
287,1351,서울특별시 도봉구 도당로29길 9
288,1352,서울특별시 도봉구 도당로 117
289,1353,서울특별시 도봉구 도봉로151길 113
290,1354,서울특별시 도봉구 도당로13라길 28
291,1355,서울특별시 도봉구 도당로13나길 6
292,1356,서울특별시 도봉구 도당로9길 12
293,1357,서울특별시 도봉구 도당로13다길 15
294,1358,서울특별시 도봉구 시루봉로 192
295,1359,서울특별시 도봉구 시루봉로 130
296,1360,서울특별시 도봉구 해등로32가길 40
297,1361,서울특별시 도봉구 해등로32길 76
298,1362,서울특별시 도봉구 방학로 243
299,1363,서울특별시 도봉구 해등로 268
300,1364,서울특별시 도봉구 해등로 312
301,1365,서울특별시 도봉구 해등로36길 29
302,1366,서울특별시 도봉구 삼양로 574
303,1367,서울특별시 도봉구 우이천로 483
304,1368,서울특별시 도봉구 삼양로142길 14
305,1369,서울특별시 도봉구 삼양로144나길 39
306,1370,서울특별시 도봉구 우이천로39가길 19
307,1371,서울특별시 도봉구 우이천로50길 3
308,1372,서울특별시 도봉구 우이천로42길 39
309,1373,서울특별시 도봉구 해등로 295
310,1374,서울특별시 도봉구 시루봉로 67
311,1375,서울특별시 도봉구 시루봉로 63
312,1376,서울특별시 도봉구 시루봉로1길 125
313,1377,서울특별시 도봉구 우이천로38다길 40
314,1378,서울특별시 도봉구 우이천로38길 46
315,1379,서울특별시 도봉구 노해로41길 32
316,1380,서울특별시 도봉구 노해로41길 18
317,1381,서울특별시 도봉구 우이천로 346
318,1382,서울특별시 도봉구 시루봉로 106
319,1383,서울특별시 도봉구 방학로11길 24
320,1384,서울특별시 도봉구 도당로7길 30
321,1385,서울특별시 도봉구 도당로 7
322,1386,서울특별시 도봉구 해등로 206
323,1387,서울특별시 도봉구 시루봉로6길 33
324,1388,서울특별시 도봉구 시루봉로 88
325,1389,서울특별시 도봉구 방학로7길 5
326,1390,서울특별시 도봉구 도봉로143길 58
327,1391,서울특별시 도봉구 도봉로137길 47
328,1392,서울특별시 도봉구 도봉로135길 28
329,1393,서울특별시 도봉구 도당로2길 33
330,1394,서울특별시 도봉구 도봉로133길 31
331,1395,서울특별시 도봉구 도봉로133길 8
332,1396,서울특별시 도봉구 노해로63가길 229
333,1397,서울특별시 도봉구 도봉로136다길 4
334,1398,서울특별시 도봉구 도봉로136길 28
335,1399,서울특별시 도봉구 노해로63다길 25
336,1400,서울특별시 도봉구 도봉로136가길 73
337,1401,서울특별시 도봉구 도봉로134길 16
338,1402,서울특별시 도봉구 해등로14길 19
339,1403,서울특별시 도봉구 해등로16다길 5
340,1404,서울특별시 도봉구 해등로12길 44
341,1405,서울특별시 도봉구 노해로65길 21
342,1406,서울특별시 도봉구 방학로 57
343,1407,서울특별시 도봉구 방학로 35
344,1408,서울특별시 도봉구 마들로16길 56
345,1409,서울특별시 도봉구 마들로 579
346,1410,서울특별시 도봉구 마들로 567
347,1411,서울특별시 도봉구 노해로69길 151
348,1412,서울특별시 도봉구 노해로69길 150
349,1413,서울특별시 도봉구 마들로11길 20
350,1414,서울특별시 도봉구 마들로11길 71
351,1415,서울특별시 도봉구 노해로69길 14
352,1416,서울특별시 도봉구 노해로 386
353,1417,서울특별시 도봉구 노해로70길 54
354,1418,서울특별시 도봉구 노해로70길 19
355,1419,서울특별시 도봉구 덕릉로 397
356,1420,서울특별시 도봉구 노해로70길 96
357,1421,서울특별시 도봉구 해등로 46
358,1422,서울특별시 도봉구 노해로66길 21
359,1423,서울특별시 도봉구 노해로66길 95
360,1424,서울특별시 도봉구 덕릉로 357
361,1425,서울특별시 도봉구 해등로 24
362,1426,서울특별시 도봉구 도봉로 580
363,1427,서울특별시 도봉구 도봉로 552
364,1428,서울특별시 도봉구 도봉로 526
365,1429,서울특별시 도봉구 시루봉로 64
366,1430,서울특별시 도봉구 해등로 229
367,1431,서울특별시 도봉구 도봉로131길 90
368,1432,서울특별시 도봉구 도봉로125길 74
369,1433,서울특별시 도봉구 해등로25길 41
370,1434,서울특별시 도봉구 시루봉로 62
371,1435,서울특별시 도봉구 시루봉로 42
372,1436,서울특별시 도봉구 도봉로129길 45
373,1437,서울특별시 도봉구 노해로57길 64
374,1438,서울특별시 도봉구 노해로49길 69
375,1439,서울특별시 도봉구 노해로53길 15
376,1440,서울특별시 도봉구 도봉로121길 39
377,1441,서울특별시 도봉구 노해로46길 27
378,1442,서울특별시 도봉구 노해로60길 23
379,1443,서울특별시 도봉구 도봉로115길 31
380,1444,서울특별시 도봉구 도봉로117길 87
381,1445,서울특별시 도봉구 노해로42길 59
382,1446,서울특별시 도봉구 노해로42길 30
383,1447,서울특별시 도봉구 노해로60가길 6
384,1448,서울특별시 도봉구 우이천로24길 70
385,1449,서울특별시 도봉구 도봉로109길 35
386,1450,서울특별시 도봉구 우이천로 336
387,1451,서울특별시 도봉구 우이천로 323
388,1452,서울특별시 도봉구 우이천로 284
389,1453,서울특별시 도봉구 도봉로110나길 90
390,1454,서울특별시 도봉구 도봉로 474
391,1455,서울특별시 도봉구 도봉로 470
392,1456,서울특별시 도봉구 도봉로114길 69
393,1457,서울특별시 도봉구 도봉로104길 121
394,1458,서울특별시 도봉구 도봉로104길 101
395,1459,서울특별시 도봉구 도봉로106길 33
396,1460,서울특별시 도봉구 도봉로110라길 42
397,1461,서울특별시 도봉구 도봉로110다길 70
398,1462,서울특별시 도봉구 우이천로20길 7
399,1463,서울특별시 도봉구 도봉로104길 124
400,1464,서울특별시 도봉구 덕릉로59라길 66
401,1465,서울특별시 도봉구 덕릉로63가길 61
402,1466,서울특별시 도봉구 덕릉로59차길 37
403,1467,서울특별시 도봉구 우이천로 232
404,1468,서울특별시 도봉구 덕릉로53길 40
405,1469,서울특별시 도봉구 덕릉로59라길 6
406,1470,서울특별시 도봉구 덕릉로 239
407,1471,서울특별시 도봉구 덕릉로53길 10
408,1472,서울특별시 도봉구 우이천로16길 6
409,1473,서울특별시 도봉구 덕릉로54길 17
410,1474,서울특별시 도봉구 덕릉로60길 7
411,1475,서울특별시 도봉구 덕릉로60아길 13
412,1476,서울특별시 도봉구 우이천로12길 45
413,1477,서울특별시 도봉구 우이천로12길 5
414,1478,서울특별시 도봉구 우이천로8길 26
415,1479,서울특별시 도봉구 덕릉로60길 120
416,1480,서울특별시 도봉구 덕릉로60타길 5
417,1481,서울특별시 도봉구 우이천로4라길 23
418,1482,서울특별시 도봉구 우이천로4길 24
419,1483,서울특별시 도봉구 노해로62길 103
420,1484,서울특별시 도봉구 해등로 81
421,1485,서울특별시 도봉구 덕릉로 315
422,1486,서울특별시 도봉구 덕릉로 283
423,1487,서울특별시 도봉구 덕릉로62길 25
424,1488,서울특별시 도봉구 덕릉로 376
425,1489,서울특별시 도봉구 덕릉로66길 84
426,1600,서울특별시 노원구 누원로 28
427,1601,서울특별시 노원구 누원로 16
428,1602,서울특별시 노원구 동일로 1745
429,1603,서울특별시 노원구 동일로245길 162
430,1604,서울특별시 노원구 동일로245길 56
431,1605,서울특별시 노원구 동일로243길 41
432,1606,서울특별시 노원구 동일로239나길 38
433,1607,서울특별시 노원구 동일로 1675
434,1608,서울특별시 노원구 동일로239길 22
435,1609,서울특별시 노원구 동일로241가길 43
436,1610,서울특별시 노원구 동일로237길 68
437,1611,서울특별시 노원구 동일로237길 40
438,1612,서울특별시 노원구 동일로237가길 10
439,1613,서울특별시 노원구 동일로237길 37
440,1614,서울특별시 노원구 동일로237길 63
441,1615,서울특별시 노원구 수락산로 246
442,1616,서울특별시 노원구 수락산로 214
443,1617,서울특별시 노원구 동일로227길 26
444,1618,서울특별시 노원구 동일로227길 106
445,1619,서울특별시 노원구 동일로227길 79
446,1620,서울특별시 노원구 동일로 1541
447,1621,서울특별시 노원구 동일로 1794
448,1622,서울특별시 노원구 동일로250길 44
449,1623,서울특별시 노원구 동일로 1716
450,1624,서울특별시 노원구 동일로 1690
451,1625,서울특별시 노원구 동일로 1680
452,1626,서울특별시 노원구 동일로242나길 28
453,1627,서울특별시 노원구 동일로230길 78
454,1628,서울특별시 노원구 동일로230다길 70
455,1629,서울특별시 노원구 동일로238길 26
456,1630,서울특별시 노원구 동일로234길 8
457,1631,서울특별시 노원구 동일로 1598
458,1632,서울특별시 노원구 상계로37나길 15
459,1633,서울특별시 노원구 덕릉로139길 16
460,1634,서울특별시 노원구 상계로 307
461,1635,서울특별시 노원구 상계로33길 14
462,1636,서울특별시 노원구 상계로33길 53
463,1637,서울특별시 노원구 상계로 320
464,1638,서울특별시 노원구 덕릉로 799
465,1639,서울특별시 노원구 수락산로 12
466,1640,서울특별시 노원구 덕릉로 769
467,1641,서울특별시 노원구 덕릉로134가길 24
468,1642,서울특별시 노원구 덕릉로126아길 18
469,1643,서울특별시 노원구 덕릉로126다길 10
470,1644,서울특별시 노원구 덕릉로112길 97
471,1645,서울특별시 노원구 덕릉로112길 100
472,1646,서울특별시 노원구 덕릉로 792
473,1647,서울특별시 노원구 덕릉로112길 13
474,1648,서울특별시 노원구 덕릉로 744
475,1649,서울특별시 노원구 덕릉로94가길 41
476,1650,서울특별시 노원구 덕릉로94가길 20
477,1651,서울특별시 노원구 한글비석로52길 66
478,1652,서울특별시 노원구 한글비석로46나길 10
479,1653,서울특별시 노원구 한글비석로46나길 3
480,1654,서울특별시 노원구 한글비석로52길 54
481,1655,서울특별시 노원구 한글비석로50길 24
482,1656,서울특별시 노원구 한글비석로48길 12
483,1657,서울특별시 노원구 한글비석로24라길 84
484,1658,서울특별시 노원구 한글비석로24마길 98
485,1659,서울특별시 노원구 한글비석로44길 64
486,1660,서울특별시 노원구 수락산로 13
487,1661,서울특별시 노원구 상계로 193
488,1662,서울특별시 노원구 덕릉로83길 14
489,1663,서울특별시 노원구 한글비석로22길 3
490,1664,서울특별시 노원구 한글비석로24다길 10
491,1665,서울특별시 노원구 한글비석로24라길 35
492,1666,서울특별시 노원구 한글비석로 444
493,1667,서울특별시 노원구 한글비석로24나길 42
494,1668,서울특별시 노원구 한글비석로24가길 5
495,1669,서울특별시 노원구 동일로228길 29
496,1670,서울특별시 노원구 수락산로 86
497,1671,서울특별시 노원구 한글비석로 470
498,1672,서울특별시 노원구 동일로228길 66
499,1673,서울특별시 노원구 한글비석로 530
500,1674,서울특별시 노원구 동일로 1538
501,1675,서울특별시 노원구 노원로 586
502,1676,서울특별시 노원구 노원로 532
503,1677,서울특별시 노원구 노원로38길 34
504,1678,서울특별시 노원구 한글비석로 471
505,1679,서울특별시 노원구 한글비석로47길 78
506,1680,서울특별시 노원구 한글비석로41가길 24
507,1681,서울특별시 노원구 한글비석로37길 11
508,1682,서울특별시 노원구 상계로27길 12
509,1683,서울특별시 노원구 한글비석로 401
510,1684,서울특별시 노원구 상계로17길 17
511,1685,서울특별시 노원구 상계로9나길 33
512,1686,서울특별시 노원구 노원로 573
513,1687,서울특별시 노원구 동일로 1473
514,1688,서울특별시 노원구 동일로 1441
515,1689,서울특별시 노원구 노해로75길 20
516,1690,서울특별시 노원구 동일로 1456
517,1691,서울특별시 노원구 노원로 483
518,1692,서울특별시 노원구 상계로 93
519,1693,서울특별시 노원구 상계로 61
520,1694,서울특별시 노원구 동일로 1426
521,1695,서울특별시 노원구 노해로 489
522,1696,서울특별시 노원구 상계로 108
523,1697,서울특별시 노원구 상계로18길 6
524,1698,서울특별시 노원구 한글비석로 387
525,1699,서울특별시 노원구 한글비석로 387
526,1700,서울특별시 노원구 덕릉로77길 6
527,1701,서울특별시 노원구 덕릉로79길 23
528,1702,서울특별시 노원구 노원로26길 119
529,1703,서울특별시 노원구 노원로 420
530,1704,서울특별시 노원구 노원로 408
531,1705,서울특별시 노원구 노원로26가길 18
532,1706,서울특별시 노원구 덕릉로73길 28
533,1707,서울특별시 노원구 덕릉로 623
534,1708,서울특별시 노원구 덕릉로 591
535,1709,서울특별시 노원구 덕릉로71길 30
536,1710,서울특별시 노원구 덕릉로71길 5
537,1711,서울특별시 노원구 덕릉로 672
538,1712,서울특별시 노원구 덕릉로76길 29
539,1713,서울특별시 노원구 한글비석로 277
540,1714,서울특별시 노원구 한글비석로 261
541,1715,서울특별시 노원구 덕릉로94길 6
542,1716,서울특별시 노원구 덕릉로94길 10
543,1717,서울특별시 노원구 덕릉로86길 37
544,1718,서울특별시 노원구 덕릉로82길 36
545,1719,서울특별시 노원구 한글비석로12길 51
546,1720,서울특별시 노원구 한글비석로 262
547,1721,서울특별시 노원구 한글비석로12길 51
548,1722,서울특별시 노원구 중계로14마길 5
549,1723,서울특별시 노원구 중계로14다길 70
550,1724,서울특별시 노원구 중계로 172
551,1725,서울특별시 노원구 중계로14나길 44
552,1726,서울특별시 노원구 중계로8길 13
553,1727,서울특별시 노원구 중계로8길 119
554,1728,서울특별시 노원구 중계로8나길 17
555,1729,서울특별시 노원구 중계로2길 88
556,1730,서울특별시 노원구 중계로4길 2
557,1731,서울특별시 노원구 중계로4다길 18
558,1732,서울특별시 노원구 중계로2길 57
559,1733,서울특별시 노원구 중계로2나길 16
560,1734,서울특별시 노원구 한글비석로 256
561,1735,서울특별시 노원구 중계로 195
562,1736,서울특별시 노원구 중계로 181
563,1737,서울특별시 노원구 한글비석로8길 9
564,1738,서울특별시 노원구 한글비석로8길 16
565,1739,서울특별시 노원구 한글비석로8길 42
566,1740,서울특별시 노원구 중계로 131
567,1741,서울특별시 노원구 노원로22길 41
568,1742,서울특별시 노원구 중계로19길 16
569,1743,서울특별시 노원구 한글비석로 253
570,1744,서울특별시 노원구 노원로22길 71
571,1745,서울특별시 노원구 한글비석로5길 90
572,1746,서울특별시 노원구 노원로 334
573,1747,서울특별시 노원구 노원로18길 41
574,1748,서울특별시 노원구 노원로16길 21
575,1749,서울특별시 노원구 노원로16길 2
576,1750,서울특별시 노원구 노원로 238
577,1751,서울특별시 노원구 노해로 492
578,1752,서울특별시 노원구 동일로218길 44
579,1753,서울특별시 노원구 동일로216길 47
580,1754,서울특별시 노원구 동일로216길 92
581,1755,서울특별시 노원구 동일로216길 70
582,1756,서울특별시 노원구 동일로 1350
583,1757,서울특별시 노원구 동일로 1324
584,1758,서울특별시 노원구 덕릉로 553
585,1759,서울특별시 노원구 동일로210길 1
586,1760,서울특별시 노원구 동일로 1308
587,1761,서울특별시 노원구 동일로215길 48
588,1762,서울특별시 노원구 동일로 1405
